id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
6477955332680438,tx,b2d85964caf029f28bd523df9b041ad80676d4a8bcb10e411eb657cd13541db8,88559,000000000000cfa3f93d3ba4e8826ff429ea437ebd9ecd491adeadba8c0b90f5,0,1,5000000,1,5000000,136885
2300045567931253,tx,661ce5427318dc81d8e5e16ed38977eca00fa942366760bf4bab9b59b8085f41,88664,00000000001b6345a8a9087e46a13a1cf663961287032f8ad0dffc38f6e7ecf0,0,1,5000000000,1,5000000000,137072
4652294944458167,tx,65941dd4e2e7d70a9af52944703a4d7a1e32523f6e3b4ac6f6b92d709ce63984,88678,00000000001b18a9b70cf3266e647103fea4980a9ee01f250a16f80f7d80956f,0,1,5000000000,1,5000000000,137088
coinbase88688,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase88779,coinbase,"",-1,"",0,0,0,1,5000000000,-1
7092597570752068,tx,4e6a1d51c0178b7701b441b59dc658170dcc4f80cddb5342f82572ea757095c9,88828,0000000000001f010daa7cbdd641aab7b04534f20d12e3aee47f063533befa9c,0,1,100000000,1,100000000,137330
246698779546243,tx,f5b0056628c3e677552b73c41dae9b5aef199cdafe5e0aaa521f94f848f80207,88838,00000000000c47cbdbeb70ba958321a66bafbf8041c4e368752fada1f5c2d50a,0,1,4217000000,1,4217000000,137358
6341294335452402,tx,60d6ae9062750cca1b622c8e787bc0d5eda7dab7735b85ed2396273f22fd3ab4,88876,000000000012b089369e6baab52454447c2fb4364f17db12bf83b7b7d0880854,0,1,5000000000,1,5000000000,137431
5729024903313749,tx,d38af057a9c59e768b3b23192c8fb8dcd2c05a2fb83c4f3036abca2b7224d4a2,89004,00000000001214bf7faf5ee92f8059019de41ada59f01e9340e4c84004da2557,0,1,5000000000,1,5000000000,137675
coinbase89025,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase89167,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase89188,coinbase,"",-1,"",0,0,0,1,5000000000,-1
8356926298636552,tx,20c9479737f65075342a7dc9a583bfc909b8a0f2401615434540088e3ba484ed,89217,00000000000609705821c2968630a6a2bd3bd7479833bcffe61ba364d89bd99a,0,1,5000000000,1,5000000000,138058
coinbase89238,coinbase,"",-1,"",0,0,0,1,5000000000,-1
5092006530374879,tx,a301eb7dcb421eea89e81a00312b7b956a26c3b953d5d2cb8bf8e67e4339b990,89372,00000000000505f4365cd5d6bbd8caebac312f4380061d310acdec4cae569c8e,0,1,49135000000,2,49135000000,138309
7778909751241719,tx,88b4fb7cd489980e594dc7fa97194a3388b07e7c1bed6550ebbd5fb3830417dd,89427,000000000009c565956d36bc900b3d069789341bb05363f266823b0f7041a9e9,0,1,1000000,1,1000000,138430
8652532576522787,tx,8f403d2ae2c98a5f2cc521f9641815b7b0fa7131fb56dcf5d11a910cd575ebf5,89433,000000000007cb87e5447adb00ab74248a4f0671a6d35b97f683e08bd057c752,0,10,50000000000,1,50000000000,138442
coinbase89493,coinbase,"",-1,"",0,0,0,1,5000000000,-1
2901984124313426,tx,85ce0d68e65abb7089127737d8023d7b43d24d3cc4daa30b4490fafca6b67a52,89655,00000000000965c82569234f281934d6de43f2e5b4b2bd3e22182e069494d64c,0,1,5000000000,1,5000000000,138828
7140384300693189,tx,38d0608cf6111923bc26823ca9c9a52d17a6c3cff402e6e5fb2eb66b2e22f1ca,89676,00000000000aa8058b77f7c557f0ffe01fc47b272c9abeb58396fa0844fee7d2,0,1,5000000000,1,5000000000,138854
8985154194175135,tx,97a8ddeb4436f9b2e98b679e63e48bf5a0a6e824603adaeae7f8a4f7df995fff,89794,000000000012247803379440e0195cb133db75ba6ef60136718927761c700254,0,1,50000000,1,50000000,139065
569207127443269,tx,af0c2f6b43c4a35dae44d08944360e02d00e78c4906726d53b2a3a14e5862d10,89856,000000000014903e88c4cba8d183f4acbb512ae7e9dad42d370b178f7e5391d2,0,2,5000000,2,5000000,139234
4929650056509511,tx,740c6cfbcec56adfcec5736ecdd70eff629b0a3d19947b92cf3dc2e1c3ec1b8c,89985,00000000000b8d74a08b961fe4e8deb198ba77bab605d7adbbc2aebb8fe0c233,0,2,14800000000,2,14800000000,139460
5294176680938719,tx,3866801fe7385f85f708765e6ec38205f1acecf4879cca1909fe669083347896,90018,00000000000dfeb328b91209e9c59393593c4f569c7f342dd775b6b3cda7fb06,0,1,5000000000,1,5000000000,139514
coinbase90023,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase90064,coinbase,"",-1,"",0,0,0,1,5000000000,-1
227746273767228,tx,02107aa9ff1f4539b2ba3b1f40195dbfb3b8f2cf77039e2bfae679f97d127906,90064,0000000000022b1e50f6d68488b242d52f46e7531cca184f97aa564fe12016b1,0,1,5000000000,1,5000000000,139603
coinbase90094,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase90109,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase90141,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase90149,coinbase,"",-1,"",0,0,0,1,5000000000,-1
4454592678784285,tx,fc8656cc68dd5288a1f283a03c5eba35474dc4ddbccaa77deeee68e7716d9b7e,90223,0000000000096ab705e2e3a26904cffd07bf3207ed4018698b64e97c6b21f971,0,1,5000000000,1,5000000000,139879
