Source,Target,src_position,dst_position,address,value,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
8205979167485052,1864233184379204,0,25,1JTqFyRNmpVqEYMCPv8ac1TA8KMmKVuKsw,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
918169615386749,5989860347240212,0,56,15KRKuQevs5mN83w6HfhFdn8tT53hBQCWh,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
7683376964030617,6523796180370219,0,15,1ESvLejvvirnx8XotYWFkFCkzkbfegunh9,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
2062685925093493,3938815586049027,0,352,1HpYSUFFJWHJ9ahJopqV38ayLjaPunRyci,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
5545547429270695,1936034531666464,0,129,19J7TzSpPeMj4yNtmVo7LUswxJWfk3mxQQ,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
1086702742459116,7801039822964390,0,3,12Ds9W5yocwttKnT76u1FjnJPBu3bepJZw,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
5918783811276262,7590885301670350,0,29,1BVGJesDokFiMEAEguPCu8Lahu9rpZazUN,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
449238306711124,1312950826283655,0,23,1P1MGAUXBjgSmd5bAxLTH2zrFvfv7YfY7h,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
4694473526260581,7952079303223431,0,28,13GPFC2stEScaHHvoKoVSzHCd4GCEt9EuN,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
8545684557212150,6783012256576808,0,27,1L8pqAMNA8J6eCuXPn7XcsaxkuiBfCS1a2,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
694394883700653,2547258785528037,0,14,184hqa5faAUqoU3dSvsMG5dDVfmM2fBgjh,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
2261269511841797,5402982440720997,0,23,1FXAQc942rerp65RHAdio5CZme85ZrMeMi,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
1668506631703964,1936034531666464,0,34,142N2UmdS11jC4Xkjc2CQMTmDdDuU8cjfe,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
8906075292873646,2898893532836456,0,17,18BBh97cACsWLGEEfNtr6SjqaEca3jfnkh,5000000000,unknown_tx,,-1,,0,0,0,0,0,-1
