id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
1174551358780299,tx,a90599a639188c89b642c296b9bf361713ecc96072a41d33755d9c1564fc6121,68502,00000000028867ad400ea30c75f3153f1bc1a1066ce31c72989ca6bfb79c9247,0,2,10000000000,1,10000000000,86276
7644099439116804,tx,a86119a21562e39f9e09c52920348c784b7465e4e7be510d70241092bd2442d9,69070,000000000013b495e8ce8727af834efe70c927546d277d0e8671f76d43b4843a,0,1,375000000,2,375000000,87823
5649690796150463,tx,e54c6796a47f9409d914475b31c632b07afb4540e4253b91d1fd75f627e992a0,69219,0000000000a6ba23612db5c7f0d5ab79f0be068bdd31353bebff5f3ab8326281,0,1,6752000000,2,6752000000,88333
8987121870346893,tx,abea5b871215a2bbaf8ef3e390df745b4d8a246770c6590f9b6cd414f5ea6dff,69303,0000000000548692b24a940fbed55312a103ae63a9c7c3538128449a6b6780d6,0,1,5000000000,2,5000000000,88594
6628508485426433,tx,5df9b3886b4dd83526b8950c1ab64d5c987cf97a16e5d9ed240fe8502dbf64bc,70186,0000000000ee0c6313ec17a5b76e5f3a94a288fcc227a7770ae3fd6ff081bdaa,0,1,116000000,2,116000000,92328
6431337627094891,tx,1a50cd555e094dc21dc84a3a17770008222feaa52fc05252ed5e7b8cd523cab6,70850,00000000005f5bc0beb61f9a1b63fc9970742498aa825056ad4572160408d9d6,0,1,5000000,1,5000000,93901
8511337788047295,tx,a93e8177be5f91744770cf15be2bb25584bcecc07ae5154443fefd5b0b22e8f1,70850,00000000005f5bc0beb61f9a1b63fc9970742498aa825056ad4572160408d9d6,0,1,5000000,1,5000000,94019
6551413639489485,tx,582f112dedfac341ef4b0974bd89c69b73ee23897e245fa7166e3e11d6ce33ba,70857,0000000000ae091e5ee646236f9a4309fc46c7d0f8969fe3440076f0770188f3,0,1,5000000,1,5000000,94293
5249904667746096,tx,1f1f37249a34fc561d3c07aa9fa6cb6af6c06623be3c2e3d9983f99a76153695,70857,0000000000ae091e5ee646236f9a4309fc46c7d0f8969fe3440076f0770188f3,0,1,5000000,1,5000000,94317
4400122073533984,tx,89b604308e4d937760c0c67b1819be7b5d5513e9cbcb49c9d704714a091a0f7d,70868,0000000000519aabf7ca56345d4bbe1a8dcab02be862e325671609b5f9e8ef5d,0,1,5000000,1,5000000,94767
5017111538489809,tx,924d2ca7483fa5e4835640626ec40c31cc5ca601a766c025ff8ace66784a988e,70962,00000000008d4c4615be3b1f53207f33fcaddb93a212e6fbfb249a1fbd4b0a44,0,1,5000000000,1,5000000000,97083
4314939137193965,tx,d5013e717b502ebbfee873cf463952fffddaf1120c9a65b4596cbfff7350a37a,71234,0000000000027f820ddb200f7fec6b92eab6385171c6b8a5e85a97b14beea736,0,1,5000000000,1,5000000000,97628
5656083997294515,tx,25d9fb9ff65e814963d0d42ee54e227bb14bad8aabfaa177659afdd36b6dc1a0,72051,0000000000facb4531d1d76608a59a81b6f54714ee2440fd99a83f87a994934c,0,1,1230000000,2,1230000000,99070
