src,dst,src_position,dst_position,address,value
1305545749339472,7107810717857267,1,0,1FV9danbeszMmEwHHh1kLLJvb6apQYzd6v,4507000000
7107810717857267,7107810717857267,0,0,1NqM5NX71DeACSauu4uiiRbuKpfkqC53Zi,4359000000
7107810717857267,7107810717857267,1,17,1JhXNL9wfV7RfF5GourYkhLt8j3yq8vfhs,148000000
1848123016168935,3952303109456843,1,0,1PReK55Wrh76JpNn2TjJiGkjeJs9fBPeTE,4158000000
3952303109456843,3952303109456843,0,0,1EDajGvcRHoiaKJiiETFT99MkTYsfH3hjh,3791000000
3952303109456843,3952303109456843,1,7,166uYUb7ogk1xyxSSYQzdXRefdbYJaMTjs,367000000
3940844996716911,3129451602440749,1,0,1AWtDqxSAZ1Z8KfUPTJ6AxeiryhDymLSSA,3498000000
3129451602440749,3129451602440749,0,0,13U8YHPZRTUpFjJEr57nNxPNkYhzgWo9Kr,3084000000
3129451602440749,3129451602440749,1,4,1Gq6YyhbJpeJyLewQ1kRuMS6cXkuHZGjyt,414000000
7071999700909453,6355790323311468,0,0,1LCBk2UbhSSDomkT5NSUJCKw7teGFpyBDq,3126000000
6355790323311468,6355790323311468,0,66,1PuDYrYxsXkBgvfq5hpaG2w3qpegEgGxXU,1128000000
6355790323311468,6355790323311468,1,0,17Q3PLzmgzdSJ6uoUKJXUXKfS7bHV1bHrM,1998000000
6982330225769728,7152360481819206,1,0,1KXkhm335oR51GfQ8zRtn5EaDZpXtym9wW,13831000000
7152360481819206,7152360481819206,0,0,161GTYJhuvdLQoTM4KRsqKovZdHLkapUu4,13826000000
5768542860061640,5768542860061640,0,5,1CsT3ba2VsrsxwQsmwZoFVQ4fE86A1Uj4W,5000000000
5290925541946413,261273111350813,0,0,1PXBnKHZjcqnTpSa3AY3QcjCQaCN7gdNA2,5000000000
261273111350813,261273111350813,0,85,1P1DNojLsjTNkg19M6gsn9pfRYokL8hKpz,5000000000
8847553211730097,1649525755280530,0,0,13gpR2NE8t5DTRnNxgQ9b9mssEQxCi3jsU,1300000000
1649525755280530,1649525755280530,0,3,1AcFDzS6kF7zzFcjieVSDNfwreRyj8D4R5,10000000
1649525755280530,1649525755280530,1,0,1NvAQz3qfdP589ZBCgaWS2WcgmqPxCpqSe,1290000000
6896493393222575,4322279565170935,1,0,1EYTGtG4LnFfiMvjJdsU7GMGCQvsRSjYhx,4444000000
7118293038187257,4322279565170935,0,1,1EYTGtG4LnFfiMvjJdsU7GMGCQvsRSjYhx,4444000000
4322279565170935,4322279565170935,0,6,145crWADs13RVdAQFz1PHxV8FuifFtPBGi,8888000000
