id,name,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output
1363877921680488,unknown,-1,unknown,-1,-1,-1,-1,-1
961909051713104,unknown,-1,unknown,-1,-1,-1,-1,-1
1305545749339472,unknown,-1,unknown,-1,-1,-1,-1,-1
1848123016168935,unknown,-1,unknown,-1,-1,-1,-1,-1
3940844996716911,unknown,-1,unknown,-1,-1,-1,-1,-1
7071999700909453,unknown,-1,unknown,-1,-1,-1,-1,-1
6982330225769728,unknown,-1,unknown,-1,-1,-1,-1,-1
5290925541946413,unknown,-1,unknown,-1,-1,-1,-1,-1
8847553211730097,unknown,-1,unknown,-1,-1,-1,-1,-1
7236873574535736,unknown,-1,unknown,-1,-1,-1,-1,-1
4741942843824707,unknown,-1,unknown,-1,-1,-1,-1,-1
129337757637464,unknown,-1,unknown,-1,-1,-1,-1,-1
1506302321047417,unknown,-1,unknown,-1,-1,-1,-1,-1
7770850043853106,unknown,-1,unknown,-1,-1,-1,-1,-1
7928213169478731,unknown,-1,unknown,-1,-1,-1,-1,-1
3618402273622310,unknown,-1,unknown,-1,-1,-1,-1,-1
