src_id,dst_id,src_position,dst_position,address,value
3666186098040993,3204758341454374,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
7109458665629506,1782134169086159,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
2442287982218305,1946238846100555,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
63397674821552,177452960947695,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
1306348036918584,1807430679450600,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
502724287980157,4936274177543787,1,7,14eF2c1NrFrgHiKnw3GGe5WcmbUE8iNAxs,10000000000
3084625734616665,3543324486872112,0,21,14eF2c1NrFrgHiKnw3GGe5WcmbUE8iNAxs,10000000000
6301693887366862,5302123936039541,0,0,1L2BXRBPLWn6Lo2NrjazPjvpEfrKfLNWY7,20000000000
1945448083883598,8949269493625037,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
5850594984989694,1275333790055911,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
7138611728085121,5941850566140167,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
2792373451584336,3413101598617426,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
2748383557073,5014081489108833,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
2928080995964360,5988745743833043,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
7181739577270196,774104600815398,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
370904880612863,3117040220317211,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
7313111111522781,5583371182503529,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
913993881313574,5608498959220370,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
8034770990822288,3980527256867247,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
coinbase92963,3976459178239570,4294967295,0,coinbase92963,5000000000
8643314855032941,7333809749952028,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
6453546605174235,4189731957376070,1,1,1Lu3KH3dQgTqxN3JnyxNxU5MiFyyaJEz5L,500000000
2586727163345994,6802268932042313,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
2088007561410208,8228092212978936,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
6226262117452784,4004543183357120,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
2196886991528818,7605205143069233,1,0,1K4npUMUjkhnZKiourHcZ6jKjAdNXh9QaQ,45810000000
8719897260040529,2472947341240251,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
2042038340481331,2397292125027760,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
6752798983608922,696855637379634,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
868526895933292,7587089246708779,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
2956874850290926,7950021907613883,0,0,1GRVVRz75WfU7htxMWDm9i1tnZP2KFqRzL,1000000
6377902968072262,6858579210996853,0,0,11jh1FGcJy2oemZQn9kS8Jdwzej2FsvDT,1000000
